0,1,2,3,4,5,6
AP Flour,600,g,g,600,,1. Combine all ingredients and whisk.
Cornmeal,400,g,g,400,,
Sugar,200,g,g,200,,
Salt,20,g,g,20,,
Baking Powder,20,g,g,20,,
Baking Soda,20,g,g,20,,
Pepper,15,g,g,15,,
Buttermilk,880,g,g,880,,
,,,,,,
,,,,,,
Chipotle Aioli,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayo,18,cups,cups,18,,1. Combine ingredients and blend thoroughly.
Adobo Puree,3,cups,cups,3,,
Lime Juice,1,tbsp,tbsp,1,,
,,,,,,
,,,,,,
Aji Verde (Large Batch),,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Cilantro,1200,g,g,1200,,"1. Combine lime juice, mayo, garlic, salt, jalapeno, olive oil, ½ cilantro."
Lime Juice,600,g,g,600,,2. Puree.
Mayo,600,g,g,600,,3. Add remaining ½ cilantro.
Garlic,200,g,g,200,,4. Blend on low until consistent texture.
Salt,40,g,g,40,,
EVOO,150,g,g,150,,
Deveined Jalapeno,500,g,g,500,,
,,,,,,
,,,,,,
Alabama White Sauce,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayo,1,gallon,gallon,1,,1. Whisk ingredients thoroughly.
Horseradish,0.5,cup,cup,0.5,,"2. If brown sugar solidified, dissolve in ACV first."
Dijon Mustard,0.5,cup,cup,0.5,,
Apple Cider Vinegar,1,cup,cup,1,,
Lemon Juice,1,cup,cup,1,,
Granulated Garlic,2,tbsp,tbsp,2,,
Brown Sugar,3,cup,cup,3,,
Cayenne,0.5,tbsp,tbsp,0.5,,
Salt,1,tsp,tsp,1,,
Pepper,1,tsp,tsp,1,,
,,,,,,
,,,,,,
Grilled Three-Cheese Sandwich,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Cream Cheese,0.5,cup,cup,0.5,,"1. Cream Cheese Spread: Blend cream cheese, cheddar, cream, salt smooth."
Shredded Double Gloucester/Cheddar,0.5,cup,cup,0.5,,"2. Garlic Spread: Stir mayo, garlic, salt in bowl."
Heavy Cream,2,tbsp,tbsp,2,,"3. Lay out bread. 2 cheddar on 4 slices, 2 provolone on rest."
Coarse Salt (cream cheese),0.25,tsp,tsp,0.25,,4. Spoon cream cheese spread on provolone. Press sides together.
Mayonnaise (garlic spread),0.5,cup,cup,0.5,,5. Heat skillet medium 5 min. Brush both sides with garlic spread.
Minced Garlic (garlic spread),0.75,tsp,tsp,0.75,,6. Grill 2 min each side until melted and golden.
Coarse Salt (garlic spread),0.25,tsp,tsp,0.25,,
Artisan Bread,8,slices,slices,8,,
Cheddar Cheese Slices,8,ea,ea,8,,
Provolone Slices,8,ea,ea,8,,
,,,,,,
,,,,,,
Thai Chilli Sauce,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mae Ploy,1,bottle,bottle,1,,1. Combine and mix.
Soy Sauce,0.25,cup,cup,0.25,,
Honey,0.25,cup,cup,0.25,,
Furikake Seasoning,0.25,cup,cup,0.25,,
Sriracha,0.25,cup,cup,0.25,,
,,,,,,
,,,,,,
Corndog Batter (Large Batch),,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
AP Flour,17,cup,cup,17,,"1. Combine dry ingredients, add buttermilk until right consistency."
Cornmeal,12,cup,cup,12,,
Sugar,4,cup,cup,4,,
Salt,3,cup,cup,3,,
Baking Soda,0.333333333333333,cup,cup,0.333333333333333,,
Pepper,0.5,cup,cup,0.5,,
Buttermilk,to consistency,,,to consistency,,
,,,,,,
,,,,,,
Chip Aioli,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayo,36,cup,cup,36,,1. Combine all ingredients and blend thoroughly.
Adobo,6,cup,cup,6,,
Lime Juice,3,tbsp,tbsp,3,,
,,,,,,
,,,,,,
Lariat Rub (Large Batch),,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Salt,1.75,cup,cup,1.75,,1. Whisk together in mixing bowl.
Paprika,18,tbsp,tbsp,18,,
Garlic Powder,0.75,cup,cup,0.75,,
Onion Powder,0.75,cup,cup,0.75,,
Pepper,0.25,cup,cup,0.25,,
Turbinado,0.75,cup,cup,0.75,,
Cayenne,4,tbsp,tbsp,4,,
Cumin,4,tbsp,tbsp,4,,
,,,,,,
,,,,,,
Pico De Gallo,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Diced Tomatoes,10,cups,cups,10,,1. Combine ingredients in mixing bowl.
Diced Red Onion,2,cups,cups,2,,
Diced Jalapeno,7,ea,ea,7,,
Minced Garlic,0.5,cup,cup,0.5,,
Cilantro,1,cup,cup,1,,
Lime Juice,3,cups,cups,3,,
Salt & Pepper,to taste,,,to taste,,
,,,,,,
,,,,,,
Chicken Jus,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Celery,2.33333333333333,cup,cup,2.33333333333333,,1. Heat rondeau; add butter and wings. Cook until colored.
Carrot,7,cup,cup,7,,"2. Add mirepoix, scrape fond continuously."
Large Onions,3,ea,ea,3,,"3. Once vegetables brown, deglaze with white wine."
Chicken Wings,1,bag,bag,1,,"4. Add garlic, cook until fond forms, deglaze again."
Clarified Butter,0.125,cup,cup,0.125,,"5. Add remaining stock, reduce by ⅓ (approx. 2 hours)."
Water + Chicken Stock,8 QT + 8 oz,,,8 QT + 8 oz,,6. Pour through chinois. Skim oils from top.
Dry White Wine,4,cups,cups,4,,
"Sachet (rosemary, parsley, tarragon, thyme)",20,grams,grams,20,,
Garlic,0.125,cup,cup,0.125,,
,,,,,,
,,,,,,
Green Chile (Large Batch),,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
"Pork Butt (3"" sections)",20,lbs,lbs,20,,"1. Trim fat cap, cover with spice rub."
Water + Chicken Stock,16 QT + 16 oz,,,16 QT + 16 oz,,"2. Sear on all sides, place in deep hotel pan."
Drained Tomatillos,3,cans,cans,3,,3. Cover with water/chicken base mix.
Green Chiles w/ juice,4,bags,bags,4,,"4. Add onion, garlic, green chiles, tomatillos."
Diced White Onions,4,QT,QT,4,,5. Braise min 5 hours at 225°F.
Granulated Garlic,1,cup,cup,1,,"6. Pull, shred, mix thoroughly."
Dried Oregano,0.666666666666667,cup,cup,0.666666666666667,,7. Add roux if necessary.
Cumin,1,cup,cup,1,,
Minced Garlic,2,cup,cup,2,,
Lariat Rub,1.5,cup,cup,1.5,,
,,,,,,
,,,,,,
Tomatillo Salsa,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Large White Onions,4,ea,ea,4,,"1. Roast onions, jalapenos, garlic, tomatillos until charred."
Jalapenos (half deveined),8,ea,ea,8,,2. Combine with other ingredients and blend.
Garlic Cloves,20,ea,ea,20,,3. Adjust salt & pepper to taste.
#10 Can Whole Tomatillos,3,ea,ea,3,,
Salt,3,tbsp,tbsp,3,,
Pepper,3,tbsp,tbsp,3,,
Cumin,2,tsp,tsp,2,,
Lime (zested & juiced),0.5,cup,cup,0.5,,
Agave,1,tbsp,tbsp,1,,
Green Chile,0.333333333333333,cup,cup,0.333333333333333,,
Avocado,8,ea,ea,8,,
,,,,,,
,,,,,,
Miso Honey,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Miso,0.5,cup,cup,0.5,,1. Combine and mix.
Honey,2,cups,cups,2,,
Water,0.5,cup,cup,0.5,,
,,,,,,
,,,,,,
Cobb Dressing,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Garlic Cloves,8,ea,ea,8,,1. Combine half blue cheese and all other ingredients. Blend on high.
Parsley,3,cups,cups,3,,"2. Add remaining blue cheese, blend on low."
Cilantro,3,cups,cups,3,,
Buttermilk,1,QT,QT,1,,
Mayonnaise,1,QT,QT,1,,
Sour Cream,1,QT,QT,1,,
Lemons (zest & juice),8,ea,ea,8,,
Olive Oil,4,tbsp,tbsp,4,,
Bleu Cheese Crumbles,2,cups,cups,2,,
Salt & Pepper,to taste,,,to taste,,
,,,,,,
,,,,,,
Lemon Thyme Vinaigrette,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Garlic,2,tsp,tsp,2,,1. Emulsify all ingredients.
Lemon Zest,from 4 lemons,,,from 4 lemons,,
Lemon Juice,3,cups,cups,3,,
EVOO,2,cups,cups,2,,
Canola Oil,2,cups,cups,2,,
Honey,1,cup,cup,1,,
Dijon Mustard,3,tbsp,tbsp,3,,
Dry Thyme,2,tsp,tsp,2,,
Pepper,1,tsp,tsp,1,,
Kosher Salt,4,tsp,tsp,4,,
,,,,,,
,,,,,,
Coleslaw Dressing,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Mayo,8,cups,cups,8,,1. Whisk all ingredients together.
Sugar,4,cups,cups,4,,
Milk,3,cups,cups,3,,
Buttermilk,1,cup,cup,1,,
Lime Juice,2,cups,cups,2,,
Apple Cider Vinegar,1,cup,cup,1,,
Salt,6,tsp,tsp,6,,
Celery Salt,8,tsp,tsp,8,,
Celery Seed,8,tsp,tsp,8,,
,,,,,,
,,,,,,
Black Bean & Corn Succotash,,,,,Scale:,1
Ingredient,Base Qty,Base Unit,Display Unit,Adjusted Qty,,Procedure
Corn,2,QT,QT,2,,1. Combine all ingredients and mix.
Rinsed Black Beans,1,QT,QT,1,,
Diced Onion,0.5,ea,ea,0.5,,
Bell Peppers,1,can,can,1,,
